year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2023,8,WN,Southwest Airlines Co.,IAD,"Washington, DC: Washington Dulles International",174.0,47.0,20.15,0.19,9.11,0.0,17.55,0.0,0.0,1989.0,699.0,15.0,392.0,0.0,883.0
2023,8,WN,Southwest Airlines Co.,IAH,"Houston, TX: George Bush Intercontinental/Houston",510.0,76.0,24.84,0.28,9.14,0.0,41.74,5.0,1.0,3038.0,855.0,11.0,353.0,0.0,1819.0
2023,8,WN,Southwest Airlines Co.,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",153.0,53.0,17.46,0.0,4.79,0.0,30.76,0.0,0.0,2158.0,672.0,0.0,241.0,0.0,1245.0
2023,8,WN,Southwest Airlines Co.,IND,"Indianapolis, IN: Indianapolis International",947.0,239.0,71.05,4.68,45.46,0.92,116.88,14.0,1.0,12160.0,3312.0,298.0,1675.0,49.0,6826.0
2023,8,WN,Southwest Airlines Co.,ISP,"Islip, NY: Long Island MacArthur",208.0,57.0,17.66,0.0,3.1,0.0,36.23,1.0,0.0,2654.0,684.0,0.0,91.0,0.0,1879.0
2023,8,WN,Southwest Airlines Co.,ITO,"Hilo, HI: Hilo International",155.0,9.0,3.54,0.0,0.57,0.0,4.9,0.0,0.0,440.0,263.0,0.0,16.0,0.0,161.0
2023,8,WN,Southwest Airlines Co.,JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",209.0,36.0,13.66,0.4,7.37,0.0,14.57,2.0,0.0,1804.0,486.0,30.0,244.0,0.0,1044.0
2023,8,WN,Southwest Airlines Co.,JAX,"Jacksonville, FL: Jacksonville International",357.0,90.0,36.56,1.06,15.13,0.0,37.25,12.0,1.0,3703.0,1560.0,43.0,452.0,0.0,1648.0
2023,8,WN,Southwest Airlines Co.,KOA,"Kona, HI: Ellison Onizuka Kona International at Keahole",372.0,64.0,22.11,0.0,20.87,0.76,20.26,1.0,0.0,2713.0,1059.0,0.0,600.0,16.0,1038.0
2023,8,WN,Southwest Airlines Co.,LAS,"Las Vegas, NV: Harry Reid International",7582.0,1764.0,416.48,21.86,489.31,12.11,824.25,254.0,30.0,82428.0,18075.0,2155.0,22357.0,380.0,39461.0
