airport,flights,delayed,delay_min,delay_rate,avg_delay_min_per_arrival
KOA,3920.0,740.0,33956.0,0.18877551020408162,8.662244897959184
LAS,81836.0,20978.0,1084993.0,0.25634195219707706,13.258138227674863
LAX,28350.0,7085.0,343948.0,0.24991181657848324,12.132204585537918
LBB,2777.0,644.0,33504.0,0.23190493338134677,12.064818149081743
LGA,12392.0,3157.0,164356.0,0.25476113621691415,13.26307295029051
LGB,13764.0,2935.0,127088.0,0.21323743097936645,9.233362394652717
LIH,3877.0,789.0,35739.0,0.20350786690740263,9.218209956151664
LIT,2434.0,621.0,34163.0,0.2551355792933443,14.035743631881676
MAF,3896.0,843.0,42324.0,0.21637577002053388,10.863449691991786
MCI,21489.0,5139.0,259772.0,0.23914560938154406,12.08860347154358
MCO,39502.0,9656.0,560243.0,0.24444331932560376,14.182648979798492
MDW,76876.0,15638.0,841065.0,0.20341849211717572,10.940540610853843
MEM,2949.0,853.0,44331.0,0.28925059342149884,15.032553407934893
MHT,2898.0,746.0,34953.0,0.25741890959282265,12.061076604554865
MIA,6529.0,1776.0,97422.0,0.27201715423495176,14.921427477408486
MKE,8080.0,2122.0,116551.0,0.26262376237623763,14.424628712871288
MSP,6622.0,1675.0,83132.0,0.25294472968891574,12.553911205073996
MSY,18785.0,4408.0,232091.0,0.23465531008783605,12.3551237689646
MTJ,639.0,142.0,6651.0,0.2222222222222222,10.408450704225352
MYR,2349.0,575.0,28896.0,0.24478501489995744,12.301404853128991
OAK,38592.0,8358.0,397091.0,0.2165733830845771,10.289464137645108
OGG,7745.0,1465.0,64938.0,0.18915429309231763,8.384506132989026
OKC,6737.0,1799.0,89274.0,0.26703280391865813,13.251298797684429
OMA,7228.0,1916.0,93619.0,0.2650802434975097,12.952268954067515
ONT,11078.0,2500.0,122757.0,0.22567250406210507,11.081151832460733
ORD,9590.0,2211.0,109920.0,0.2305526590198123,11.461939520333681
ORF,2740.0,756.0,36914.0,0.2759124087591241,13.472262773722628
PBI,2095.0,605.0,32000.0,0.28878281622911695,15.274463007159904
PDX,9650.0,2151.0,101039.0,0.22290155440414508,10.470362694300517
PHL,4091.0,1065.0,52105.0,0.26032754827670496,12.736494744561233
PHX,61436.0,13233.0,659582.0,0.2153948824793281,10.736083078325413
PIT,8645.0,2163.0,113798.0,0.25020242914979757,13.163447079236553
PNS,1842.0,387.0,17972.0,0.21009771986970685,9.756786102062975
PSP,3205.0,764.0,35531.0,0.23837753510140405,11.086115444617784
PVD,4488.0,1246.0,65102.0,0.27762923351158647,14.505793226381462
PWM,1366.0,399.0,17729.0,0.29209370424597364,12.978770131771595
RDU,7533.0,2030.0,98499.0,0.2694809504845347,13.075667064914377
RIC,1625.0,341.0,16418.0,0.20984615384615385,10.103384615384615
RNO,8399.0,2095.0,102457.0,0.24943445648291462,12.198714132634837
ROC,1926.0,557.0,27960.0,0.28920041536863966,14.517133956386292
RSW,7356.0,1720.0,98763.0,0.2338227297444263,13.426182707993474
SAN,36871.0,8723.0,395898.0,0.23658159529169265,10.737381682080768
