airport,arr_flights,delay_rate,cancellation_rate,avg_delay_time,carrier_ct_rate,weather_ct_rate,nas_ct_rate,security_ct_rate,late_aircraft_ct_rate,season,airport_size
BOI,370.0,0.33513513513513515,0.005405405405405406,40.63709677419355,0.11608108108108109,0.0,0.029324324324324323,0.0,0.18972972972972973,Summer,Medium
BOS,590.0,0.4016949152542373,0.03220338983050847,71.11433172302738,0.11511864406779661,0.01028813559322034,0.13145762711864406,0.003491525423728814,0.14133898305084747,Summer,Large
BUF,357.0,0.4257703081232493,0.0196078431372549,62.25,0.1795798319327731,0.020504201680672268,0.060308123249299725,0.0,0.16535014005602242,Summer,Medium
BUR,1824.0,0.23300438596491227,0.008223684210526315,48.28941176470588,0.06889802631578948,0.0006469298245614035,0.018207236842105262,0.0002960526315789474,0.14496162280701755,Summer,Large
BWI,2894.5,0.30475584539526007,0.012565611579449657,66.69885177453027,0.06487991092731032,0.011289963416573883,0.0754382058215365,0.0010370606012406552,0.15211229521234293,Summer,Large
BZN,171.0,0.4152046783625731,0.0,53.25352112676056,0.1675438596491228,0.0,0.021403508771929824,0.0,0.22625730994152046,Summer,Small
CHS,338.0,0.33727810650887574,0.0029585798816568047,57.526315789473685,0.09609467455621301,0.01227810650887574,0.0692603550295858,0.0,0.15961538461538463,Summer,Medium
CLE,429.0,0.40559440559440557,0.004662004662004662,58.46551724137931,0.14372960372960372,0.007855477855477857,0.03470862470862471,0.0017482517482517483,0.21755244755244754,Summer,Medium
CLT,273.0,0.3772893772893773,0.003663003663003663,64.71844660194175,0.13681318681318683,0.008131868131868133,0.04461538461538461,0.0,0.18769230769230769,Summer,Small
CMH,1057.0,0.3566698202459792,0.008514664143803218,62.63395225464191,0.11587511825922422,0.011561021759697258,0.043718070009460736,0.0,0.18550614947965943,Summer,Large
COS,446.0,0.3811659192825112,0.008968609865470852,56.258823529411764,0.1402914798206278,0.00399103139013453,0.047062780269058295,0.0,0.18979820627802693,Summer,Medium
CRP,109.0,0.1651376146788991,0.009174311926605505,31.22222222222222,0.06678899082568808,0.007889908256880733,0.005688073394495413,0.0,0.08477064220183486,Summer,Small
CVG,233.0,0.40772532188841204,0.0,62.09473684210526,0.15467811158798284,0.009742489270386265,0.02725321888412017,0.0,0.21605150214592275,Summer,Small
DAL,2894.5,0.2808496838008756,0.006648289281660451,55.562933025404156,0.08260580509161668,0.005869952975514838,0.04147559591373439,0.0007945516458569807,0.1501053997081239,Summer,Large
DCA,1389.0,0.3074154067674586,0.005039596832253419,56.36299765807963,0.07128869690424766,0.009510439164866812,0.10611951043916487,0.000388768898488121,0.12010799136069115,Summer,Large
DEN,2894.5,0.3501671855182751,0.022252968984203852,63.968389858412905,0.06815404127752796,0.009075291133402512,0.12316384180790961,0.0006514470194857604,0.14912256427994927,Summer,Large
DSM,150.0,0.4533333333333333,0.006666666666666667,64.95588235294117,0.12133333333333333,0.008866666666666667,0.04973333333333333,0.0,0.2734,Summer,Small
DTW,345.0,0.4405797101449275,0.011594202898550725,63.9078947368421,0.16982608695652174,0.017043478260869566,0.03814492753623189,0.0,0.21559420289855072,Summer,Medium
ECP,389.0,0.3393316195372751,0.0,42.84848484848485,0.06514138817480719,0.0033676092544987148,0.07017994858611826,2.570694087403599e-05,0.20061696658097689,Summer,Small
ELP,778.0,0.2827763496143959,0.0012853470437017994,47.96818181818182,0.09823907455012855,0.0012339331619537275,0.023804627249357325,0.0,0.1594987146529563,Summer,Medium
EUG,181.0,0.287292817679558,0.0,44.88461538461539,0.06104972375690608,0.001160220994475138,0.07640883977900552,0.0,0.14861878453038674,Summer,Small
FAT,129.0,0.3488372093023256,0.0,49.62222222222222,0.13689922480620156,0.0,0.0213953488372093,0.0,0.19054263565891472,Summer,Small
FLL,1424.0,0.3497191011235955,0.0049157303370786515,61.06425702811245,0.08431179775280899,0.008553370786516854,0.10906601123595505,0.0009058988764044944,0.1468890449438202,Summer,Large
GEG,346.0,0.3901734104046243,0.002890173410404624,44.007407407407406,0.14916184971098265,0.0010982658959537573,0.04092485549132948,0.002052023121387283,0.1969364161849711,Summer,Medium
GRR,165.0,0.3939393939393939,0.0,64.06153846153846,0.1352121212121212,0.025818181818181817,0.03884848484848485,0.0,0.19399999999999998,Summer,Small
GSP,108.0,0.32407407407407407,0.0,58.628571428571426,0.1451851851851852,0.004907407407407408,0.025,0.0,0.1489814814814815,Summer,Small
HDN,31.0,0.16129032258064516,0.0,45.2,0.08741935483870968,0.015161290322580644,0.0,0.0,0.05870967741935484,Summer,Small
HNL,1261.0,0.11578112609040445,0.003965107057890563,50.102739726027394,0.05037272006344171,0.0,0.0250832672482157,0.001141950832672482,0.03918318794607454,Summer,Large
HOU,2894.5,0.2610649292293867,0.0056167153448663226,52.49053356282272,0.07022017524151876,0.0072163558750842505,0.032469108065603235,0.0014333857560098855,0.14972365760503256,Summer,Large
HRL,176.0,0.2840909090909091,0.0,46.08,0.10431818181818181,0.008011363636363636,0.013977272727272727,0.0,0.1577840909090909,Summer,Small
IAD,164.0,0.2926829268292683,0.006097560975609756,46.0,0.11926829268292682,0.011524390243902439,0.0500609756097561,0.0,0.11182926829268293,Summer,Small
IAH,538.0,0.26394052044609667,0.0055762081784386614,64.21126760563381,0.06985130111524163,0.004442379182156134,0.026710037174721188,0.0,0.1629182156133829,Summer,Medium
ICT,153.0,0.43137254901960786,0.006535947712418301,62.07575757575758,0.13032679738562092,0.003137254901960784,0.033529411764705884,0.0,0.26437908496732027,Summer,Small
IND,1003.0,0.38085742771684944,0.003988035892323031,58.18586387434555,0.10028913260219342,0.013649052841475573,0.057128614157527416,0.0007577268195413759,0.20903290129611166,Summer,Large
ISP,216.0,0.39814814814814814,0.013888888888888888,52.116279069767444,0.12384259259259259,0.011203703703703704,0.08435185185185184,0.0,0.17875,Summer,Medium
ITO,155.0,0.11612903225806452,0.0,41.111111111111114,0.044774193548387096,0.0,0.0064516129032258064,0.0,0.06490322580645162,Summer,Small
JAN,207.0,0.3526570048309179,0.0,64.21917808219177,0.07695652173913044,0.009999999999999998,0.04589371980676329,0.0012077294685990338,0.21859903381642512,Summer,Small
JAX,376.0,0.3696808510638298,0.0026595744680851063,59.66187050359712,0.10029255319148936,0.009175531914893618,0.07234042553191489,0.0,0.18787234042553191,Summer,Medium
KOA,372.0,0.1478494623655914,0.002688172043010753,46.69090909090909,0.05290322580645161,0.0003225806451612903,0.024946236559139783,0.00010752688172043011,0.06956989247311827,Summer,Medium
LAS,2894.5,0.29093351242444593,0.008462055070517126,51.56232686980609,0.07597582269979852,0.004455339153794493,0.06001746138347884,0.0008260577568838147,0.14965883143049027,Summer,Large
LAX,2697.0,0.3114571746384872,0.006674082313681869,48.37261904761905,0.09375973303670745,0.004212087504634779,0.02574712643678161,0.001724137931034483,0.1860140897293289,Summer,Large
LBB,228.0,0.2850877192982456,0.0,53.36923076923077,0.11714912280701754,0.0034210526315789475,0.03219298245614035,0.0,0.1323245614035088,Summer,Small
LGA,1058.0,0.29300567107750475,0.08412098298676748,55.83548387096774,0.09175803402646503,0.00945179584120983,0.09734404536862003,0.0,0.09445179584120984,Summer,Large
LGB,1266.0,0.23222748815165878,0.001579778830963665,45.14625850340136,0.07537124802527646,0.0007898894154818325,0.016911532385466034,0.0,0.13915481832543444,Summer,Medium
LIH,362.0,0.1850828729281768,0.0027624309392265192,39.38805970149254,0.06052486187845304,0.0,0.03859116022099448,0.0,0.08596685082872929,Summer,Small
LIT,205.0,0.37073170731707317,0.004878048780487805,56.6578947368421,0.10258536585365854,0.0005853658536585366,0.027170731707317073,0.0,0.24039024390243904,Summer,Small
MAF,327.0,0.25382262996941896,0.0061162079510703364,44.86746987951807,0.08773700305810397,0.0020795107033639145,0.026483180428134558,0.0,0.13749235474006116,Summer,Medium
MCI,2225.0,0.3244943820224719,0.00853932584269663,56.43490304709141,0.10001348314606742,0.008337078651685394,0.04695280898876404,0.000350561797752809,0.16884044943820226,Summer,Large
MCO,2894.5,0.3796347537354732,0.008854454897620365,63.069241982507286,0.08524903154399556,0.009316546762589929,0.12118705035971224,0.0017708909795240732,0.16211123408965136,Summer,Large
MDW,2894.5,0.31660019254572963,0.016778985008939623,62.93136403127715,0.07138495392655755,0.00916517672947325,0.07612570485490304,0.000986109200935222,0.15893824783386057,Summer,Large
MEM,286.0,0.4755244755244755,0.006993006993006993,67.70588235294117,0.1743006993006993,0.016993006993006994,0.047587412587412586,0.0,0.23660839160839162,Summer,Medium
MHT,231.0,0.3722943722943723,0.012987012987012988,65.34883720930233,0.12731601731601733,0.014372294372294371,0.07311688311688312,0.0,0.15753246753246752,Summer,Medium
